Feature.ID,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3,kingdom,phylum,class,order,family,genus,species,Consensus
27a5ef6e53902197850e98324889fdfe,28779,820,1355,5706,50796,42015,859,102302,36173,93339,30108,279,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Cyanobacteriales, f__Cyanobacteriales_Incertae_Sedis, g__uncultured, s__uncultured_Antarctic,0.775366111057419
ae2edf66eb4e0e8a6373c7b4f36b5e12,0,56409,15133,1622,0,2197,1526,0,0,0,0,1199,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,,0.999511016692416
77ac51f000559f84c8c7e59d5fa3a488,2505,234,151,3358,12807,6070,7426,1313,609,2328,4940,9047,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Novosphingobium, s__Novosphingobium_capsulatum,0.726386740228271
05bb834b7b139e971a6847934e8837f9,1190,87,141,2112,3387,229,954,103,369,7192,4841,27067,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Erwiniaceae, g__Pantoea,,0.749132723338998
2db00a95ed66459ab108b10289236a16,0,335,40218,139,0,0,0,0,184,0,140,146,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium, s__Allorhizobium_vitis,0.70586673957892
84c6cf7330d1be6e74c76d28ed84cf00,12482,215,119,4594,1308,840,1410,149,240,2506,1607,7679,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae,,,0.999990246408992
99c01c8099cfccb3a4c4b8a994485d92,623,210,1046,9481,1682,199,1147,369,406,4131,6693,3026,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.776058677102132
56861a33913c6ab313376efaf5ef8f4c,821,161,287,4174,2723,2987,2420,1232,286,686,970,2268,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Rhodocyclaceae, g__uncultured,,0.724926892479366
2f036c43b3aef609905dd7af175089b1,447,109,157,3123,3892,693,1902,174,181,1153,3943,2247,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Herbaspirillum,,0.932090719868603
c797ecc923ef65da55c18a005fa0a668,2217,543,176,3620,2614,1049,1303,1452,432,1275,1155,1360,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.921780499240021
