Feature.ID,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3,kingdom,sub_kingdom,phylum,class,order,family,genus,species,Consensus
e8cc4a200ba47c0bc59dd3cae3778fdf,37167,846,1405,6005,51951,42810,890,103800,29366,92883,31477,290,Bacteria,Terrabacteria,Cyanobacteria,Cyanophyceae,,,,,1
68b4c9adac6e05920d434e6c3989f560,0,59610,16558,1997,0,2427,1872,0,0,0,0,1580,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.,1
8dd9071e4c6d8938e7d47ef2115781dd,687,236,194,4017,14556,6792,8234,1508,2955,2706,5717,10258,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium_sp.,0.7
8cad3c354a20ac3b9596592b5c370552,434,89,149,2393,3829,261,1029,105,1238,7797,5150,28945,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea_sp.,1
b07fbb1ce47b87ccbeedb6968d3d0aa6,194,350,41689,153,0,0,0,0,0,0,154,156,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,AllorhizobiumNeorhizobiumPararhizobiumRhizobium,AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.,1
e22f4390b48e6be3a0b4759c0ff4bd6e,254,233,129,5073,1485,895,1498,160,13580,2673,1702,8369,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,AllorhizobiumNeorhizobiumPararhizobiumRhizobium,AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.,1
6ecaf006d1e7ce61548cb35732426725,425,230,1073,10322,1928,230,1235,383,699,4712,7404,3247,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,AllorhizobiumNeorhizobiumPararhizobiumRhizobium,AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.,1
a1d447000bcdb9ead75ae1785a00c959,308,171,339,4988,3235,3348,2807,1296,985,778,1311,2955,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pandoraea,Pandoraea_sp.,0.6
8ea5ddfcf36fd118e355099cc7ff9ba1,180,112,156,3660,4513,751,2255,174,466,1319,4565,2702,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Herbaspirillum,Herbaspirillum_sp.,0.6
16b0c2cec1827184edcab222109ec161,449,556,198,3773,2864,1121,1392,1640,2379,1378,1183,1459,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,AllorhizobiumNeorhizobiumPararhizobiumRhizobium,AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.,1
78c938a7231d0c8777e1ff70d7de0ae5,1987,1303,327,1380,579,831,618,3704,2384,589,463,195,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,1
e0d7ed89232fd68bff5f2cbb065c6789,179,0,83,956,601,161,2440,0,362,1188,2254,6135,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_sp.,0.6
1b639777ae951aecafda7b36472eb6c9,112,84,0,1691,1506,138,399,1185,1621,2354,2510,1796,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,AllorhizobiumNeorhizobiumPararhizobiumRhizobium,AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.,1
cf53aff95aac1fadec702fa06d2970aa,4039,2479,790,311,752,379,185,1585,998,386,598,166,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,1
495acd01469b968aaa60c491f64a41f0,281,369,109,1517,2980,417,914,429,627,310,2388,2171,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,0.8
311ffe8970234e21f23a87200f53a7c8,267,214,80,991,1601,1138,1557,465,2259,1016,1421,1105,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,1
a7d92dbcf07b8b84c2a6130e863c0387,84,41,337,981,2292,953,1117,318,651,1467,2521,1331,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sp.,1
c1dc3af5ed5f76b349dec2be030e8285,89,42,94,3410,860,206,187,0,0,0,5645,1281,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella_sp.,1
77f2b2a62bb0b10aba6e0d7cdb39fb9c,0,68,88,1769,1152,1296,480,1111,2870,716,628,1372,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
5b0313d7d50a41f0adb496290078423b,164,132,587,2187,504,2357,1494,1432,1382,185,375,600,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium_sp.,0.9
