Feature.ID,BS1,BS2,BS3,BW1,BW2,BW3,kingdom,phylum,class,order,family,genus,species,Consensus
2d306b06bbd87e171eb9917627a5c215,38,64,71,31282,28891,44184,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
620ad320d70bfe3b3b5de2ef8c5c919a,31,0,0,14597,25119,25333,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
a48705a45aa5f444bd451d96b4b1e639,38267,20890,0,202,145,195,k__Fungi,,,,,,,0.6
f1b6cb002c05104ab377ebb0c9a7b22a,35,42,20,8204,6426,22662,k__Fungi,p__Basidiomycota,,,,,,0.6
5bac9e7eb54fbe523d995cb7cff05a78,25,22,29,1536,12265,22595,k__Fungi,,,,,,,0.75
2d899f6e388348b9978d494d73f4d9db,0,0,22,6294,3866,5756,Unassigned,,,,,,,0
f6a37bdcf6c5032ed2c0769d5640014e,13,21,5,3280,2896,6575,k__Fungi,,,,,,,0.667
e21826afe6bb1ebefecee215d053354e,11,18,13,560,3870,5895,Unassigned,,,,,,,0
afdc83e37941c49ff6b7dcdfa63e54f0,0,0,10197,0,0,0,k__Fungi,,,,,,,0.6
d8ed642205aed552658431dcb15482d7,2771,3124,2634,69,37,79,k__Fungi,,,,,,,0.6
64d2842c575a6bc890deca522e752494,2491,2801,2519,0,36,68,Unassigned,,,,,,,0
d65be88b4b6006c6c5c23eb18c73e242,0,0,0,671,2566,4272,k__Fungi,,,,,,,0.75
c256f9a05aaac53af53008bef9ec33bd,3326,2096,280,14,0,17,Unassigned,,,,,,,0
fb20a9482f26eec106b43d24f14014d7,0,8,0,828,3407,1339,Unassigned,,,,,,,0
c7fc44b6997a0b2dc2ad77d9423eb06d,799,1470,2999,49,15,95,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,,0.545
a7dedd897ced4ca1bab206137f8c2867,334,1732,3199,22,20,16,k__Fungi,,,,,,,0.636
4d2cc2c357d67f782751c02afb2e8557,60,4204,103,15,0,13,Unassigned,,,,,,,0
4a1098474b755ab20af48edb69911b5c,14,13,5,1234,748,1440,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodosporidiobolus,,0.727
7fbb93d82e4abea98be2b43aa3e311fd,2258,217,177,353,213,55,k__Fungi,p__Ascomycota,,,,,,0.545
407216660b5568520bd9a0c14e045395,1195,1350,517,0,0,23,k__Fungi,,,,,,,0.778
456f376dada0713d51f238c9f7997e7b,0,7,0,224,1791,998,k__Fungi,,,,,,,0.6
ac080c09b575f4eba3f884fd2eca6f4f,0,14,3,362,1685,409,k__Fungi,,,,,,,0.8
66e54f28aa6e64117135c739a674b610,80,340,1960,3,8,11,k__Fungi,,,,,,,0.6
c9115e1ef75a1686b0eec6c1f10ec5c9,96,111,94,697,635,718,k__Fungi,,,,,,,0.571
d12f9a7bf245f1f0717df458a1ba1697,0,0,0,33,0,2300,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
161bc25787bd92da724b8bac3bfca2b7,624,1362,129,12,8,17,k__Fungi,,,,,,,0.667
1726223472c40ce643c9aeb46d927624,1047,260,685,20,3,10,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,,,0.833
916aec643a7a1d91f6f690dbc39fbb7e,0,11,5,1567,177,120,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,,0.636
879556baf00d7714424b8209fd56da62,0,0,0,1189,91,491,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,,0.545
f9832b1d938f96f8ca824f6131300fbc,0,0,0,44,10,1618,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
c14ade47012320a73b311c6800047e05,0,0,0,0,1626,37,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
