# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
27a5ef6e53902197850e98324889fdfe	28779.0	820.0	1355.0	5706.0	50796.0	42015.0	859.0	102302.0	36173.0	93339.0	30108.0	279.0
ae2edf66eb4e0e8a6373c7b4f36b5e12	0.0	56409.0	15133.0	1622.0	0.0	2197.0	1526.0	0.0	0.0	0.0	0.0	1199.0
77ac51f000559f84c8c7e59d5fa3a488	2505.0	234.0	151.0	3358.0	12807.0	6070.0	7426.0	1313.0	609.0	2328.0	4940.0	9047.0
05bb834b7b139e971a6847934e8837f9	1190.0	87.0	141.0	2112.0	3387.0	229.0	954.0	103.0	369.0	7192.0	4841.0	27067.0
2db00a95ed66459ab108b10289236a16	0.0	335.0	40218.0	139.0	0.0	0.0	0.0	0.0	184.0	0.0	140.0	146.0
84c6cf7330d1be6e74c76d28ed84cf00	12482.0	215.0	119.0	4594.0	1308.0	840.0	1410.0	149.0	240.0	2506.0	1607.0	7679.0
99c01c8099cfccb3a4c4b8a994485d92	623.0	210.0	1046.0	9481.0	1682.0	199.0	1147.0	369.0	406.0	4131.0	6693.0	3026.0
56861a33913c6ab313376efaf5ef8f4c	821.0	161.0	287.0	4174.0	2723.0	2987.0	2420.0	1232.0	286.0	686.0	970.0	2268.0
2f036c43b3aef609905dd7af175089b1	447.0	109.0	157.0	3123.0	3892.0	693.0	1902.0	174.0	181.0	1153.0	3943.0	2247.0
c797ecc923ef65da55c18a005fa0a668	2217.0	543.0	176.0	3620.0	2614.0	1049.0	1303.0	1452.0	432.0	1275.0	1155.0	1360.0
e3b6350ccd5cfc983fe48094409dc9a3	342.0	0.0	75.0	861.0	509.0	147.0	2177.0	0.0	179.0	1097.0	2093.0	5644.0
dd9db68f84bf9527eb34886a795e08e5	2054.0	1253.0	271.0	1156.0	502.0	752.0	606.0	3340.0	1763.0	497.0	402.0	197.0
0cd6cb602dc08e9d1c63d4dddc9c5b95	1518.0	81.0	0.0	1661.0	1319.0	119.0	355.0	1139.0	115.0	2102.0	2380.0	1681.0
