Feature.ID;NuBotR1;NuBotR2;NuBotR3;NuTopR1;NuTopR2;NuTopR3;NyBotR1;NyBotR2;NyBotR3;NyTopR1;NyTopR2;NyTopR3;kingdom;phylum;class;order;family;genus;species;Consensus
74aa5e0bf9a7ca9b7df97e2ed1ccc236;0;0;0;0;0;0;0;0;13;0;0;0;Eukaryota;Chlorophyta;Chlorodendrales;Chlorodendrophyceae;Chlorodendrales;NA;NA;0.7
9a3bf7f531a936bbbe4e5f4ef371375e;0;0;0;6;0;0;0;0;0;0;0;0;Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;NA;0.999999997933717
27f182a08f028874d1b8302546e8d144;4;0;0;0;0;10;8;0;0;0;4;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;uncultured_deep-sea;0.715327070046167
7ad5fc7ddda13ef77df849f44279f5b8;0;0;8;0;0;0;4;0;0;0;0;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;uncultured_Parcubacteria;0.977703500960618
c40f1f87433f53b0e3654a2d6571f6a6;4;0;0;0;0;0;0;0;0;0;0;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;uncultured_bacterium;0.998594248037824
a5b8781ab7b2e8c289f0d7c23295cb8d;0;3;0;0;0;0;0;0;0;0;0;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;NA;0.999561230057826
19bd99ec4d44c3e57f647c41d53e41de;0;0;0;0;0;0;0;0;3;0;0;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;NA;0.998145247024737
e98f65aca0a401bf82b01e34c057b977;0;0;0;0;0;0;2;0;0;0;0;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;0.87867944211649
11012dc8596044f35a7be04e6b720d87;0;0;0;0;0;0;0;2;0;0;0;0;Bacteria;Patescibacteria;ABY1;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;Candidatus_Magasanikbacteria;uncultured_bacterium;0.885048228369547
46a413a46b50ce48516e699a59a2873f;0;0;0;0;0;0;0;0;3;0;0;0;Bacteria;Patescibacteria;ABY1;NA;NA;NA;NA;0.999520163287154
1225ec14c46bb6a660094feb9d8f662e;0;42;19;0;0;0;0;6;233;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;uncultured;uncultured;uncultured;uncultured_bacterium;0.874111933396508
ca852250d62f1d47e598dc3165988e06;0;113;4;0;0;0;0;0;42;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;uncultured;uncultured;uncultured;uncultured_bacterium;0.839189076871724
56e578a2dc15121fcf53bab911173d6d;0;0;0;0;0;0;0;0;15;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;uncultured;uncultured;uncultured;NA;0.985889630726227
6c86c16d454dc2105c7f3e7c4245be83;0;6;0;0;0;0;0;0;0;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;uncultured;uncultured;uncultured;metagenome;0.985274593115103
b5c18314e7367e3dd87eecf5e3be9322;0;350;22;0;0;0;0;0;305;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;Microtrichales;uncultured;uncultured;NA;0.941355441877692
9513ce289d67d03f5ace8ebca98afa2d;0;141;29;0;0;0;0;16;145;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;Microtrichales;Ilumatobacteraceae;uncultured;metagenome;0.973572252781675
d1b3a689e5ea7110888fb3a47ccbdddb;6;80;37;0;0;0;0;5;190;0;0;0;Bacteria;Acidobacteriota;Acidobacteriae;Microtrichales;Microtrichaceae;uncultured;uncultured_Acidimicrobiales;0.943184908705194
