Feature ID	Taxon	Consensus
001f60172f5cc11302d1cd219cad7b64	Unassigned	1.0
0031e92b0eca4b76d5ea3e329e82e67c	Bacteria;Bacteria_X;Actinobacteria;Actinobacteria_X	1.0
0034c33c1e0859891aead0f89bbeb37c	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales	1.0
0037c01a3bbd74d1421eb3871c01240b	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;Luteolibacter_sp.;	0.8
0054e72fa4186158e12c0a0cca0c788c	Unassigned	1.0
006b99b4020985c91adea74de87f4242	Unassigned	1.0
008925b345c438f78dc3d2fa3e80bec4	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;Woeseia_sp.;	0.6
009fdca8b2f0f2e261b390cf20495672	Unassigned	1.0
00a4d09da509fa1febb62f4ae74b87a2	Unassigned	1.0
00a7930755fedbee7adbaf4f6f56520e	Unassigned	1.0
00b1fb86bdf40707ed79ebffad25b0f0	Unassigned	1.0
00e6fa01db961f0c7e2677f1e27e2401	Unassigned	1.0
00f853d3cd6baeb3ae823d3a93626d08	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Blastopirellula;Blastopirellula_sp.;	1.0
010f8e5e65a83cb93f3c2f4f4d5dfeae	Unassigned	1.0
0110e26647a6d773e59fa16d45d74474	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_sp.;	1.0
0112bbb85e89bc11fec75b33838ae445	Unassigned	1.0
0115f2314722d0d2bd09b7290bfa1915	Unassigned	1.0
0125120c2a98bae93aed3adff7db728e	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	1.0
01255b265ece275be230b009e5db63ae	Bacteria;Bacteria_X;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae	0.889
014a946f35e3861fcf66237816bc8555	Bacteria;Bacteria_X;Bacteroidetes;Ignavibacteria;Ignavibacteriales;PHOSHE36;PHOSHE36_X;PHOSHE36_X_sp.;	1.0
