Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
2b1891e2ae6cc99e8415227872225684,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Nevskia,s__uncultured_Nevskia,0,0,0,94706,52261,41514,,,,,,,,,,,,
fae96ba0e32190a2f18fa612fb3d8f08,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,"","",0,0,30,0,0,0,,,,,,,,,,,,
7ebbb1e6f79a2910951c191a4bf1df66,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Methyloversatilis,"",99,141,33,0,0,9,,,,,,,,,,,,
ca2e69da71f3a8ba58b4e7da52c4e13e,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Neochlamydia,s__uncultured_bacterium,0,0,0,0,0,4,,,,,,,,,,,,
599992d51ff9942e287b325dac3e921c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Hydrogenophilaceae,g__uncultured,"",0,0,13,0,0,0,,,,,,,,,,,,
8ae26c3d6c62a24b44b46aec97632e4c,d__Bacteria,"","","","","","",0,43,9,0,0,0,,,,,,,,,,,,
3eeb4a6278652363d350b5391ebeb470,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnohabitans,"",0,33,331,16711,52119,50745,,,,,,,,,,,,
1d8d5bb5ad687ed09684a37a095723b0,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,"",0,0,30,0,0,0,,,,,,,,,,,,
67b8a18c966e56f0b8c433d4f5330ca3,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__uncultured,s__uncultured_bacterium,81,138,63,0,0,0,,,,,,,,,,,,
b3cddbc2e43c9e41cc6c6317a652ad2f,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__uncultured,g__uncultured,s__metagenome,0,0,0,0,0,4,,,,,,,,,,,,
9dfa8008ba79cbf179415b5771b52c9b,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,"",0,0,13,0,0,0,,,,,,,,,,,,
981106a61aac34c21a43abae8926a0a1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,"","",0,33,19,0,0,0,,,,,,,,,,,,
ed36f5b55305b7bfe9f2366a73846621,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Cyanobacteriales_Incertae_Sedis,g__uncultured,s__uncultured_Antarctic,28445,31660,30560,0,6,0,,,,,,,,,,,,
d3d739cd5514fb40a3a53f958812f9ea,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caedibacterales,f__Caedibacteraceae,g__Caedibacter,"",0,0,30,0,0,0,,,,,,,,,,,,
f7a6ecf244e3a3a6170cc1c85e715c68,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,"","",145,44,92,0,0,0,,,,,,,,,,,,
309fbbb10fc29a003d3707399b479e01,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,s__metagenome,0,0,0,0,0,4,,,,,,,,,,,,
cba944f2383260b3d8a742b5cc91519e,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__SB-5,g__SB-5,s__uncultured_bacterium,0,0,13,0,0,0,,,,,,,,,,,,
60f6746a820cc1155b3b222db1bbd247,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,"",0,30,22,0,0,0,,,,,,,,,,,,
f672aa3aea2d03f0b297739022e9b716,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",395,906,152,16072,16789,17236,,,,,,,,,,,,
4ee48f7488cb2174bb91c10baedcd1b4,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hirschia,"",0,0,30,0,0,0,,,,,,,,,,,,
aaf6d120eeb8e67b224421f8694745a2,d__Bacteria,p__Chloroflexi,c__KD4-96,o__KD4-96,f__KD4-96,g__KD4-96,s__uncultured_bacterium,87,38,156,0,0,0,,,,,,,,,,,,
68431ba882d96fc10dc3188d8ba332d3,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Peredibacter,s__metagenome,0,0,0,0,0,4,,,,,,,,,,,,
dc73497eff7d72c7bc8bb92c5a8e893e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,"",0,0,13,0,0,0,,,,,,,,,,,,
99c7b6541bd48eb7ebbe872af8855887,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__uncultured,s__uncultured_bacterium,0,0,52,0,0,0,,,,,,,,,,,,
c39ea129388a077989abed2081b5fe88,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Pseudarcicella,"",0,0,30,3184,16637,15358,,,,,,,,,,,,
03bedfbed89d3d7c4e14735a2fd524fa,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__Syntrophaceae,g__Syntrophus,"",0,0,30,0,0,0,,,,,,,,,,,,
94effe0a05dc96c9150a37f5d8a03eb2,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__metagenome,51,68,162,0,0,0,,,,,,,,,,,,
89138ad36a586f0627d8f1006c97c473,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,"",0,0,0,0,0,4,,,,,,,,,,,,
bddb57dfc43b8e19c12ff83f6e0e8f5d,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__uncultured_Myxococcales,0,0,13,0,0,0,,,,,,,,,,,,
68b6a01af4a6a2e58b44781a5933690d,d__Bacteria,"","","","","","",0,0,52,0,0,0,,,,,,,,,,,,
80b6df7798b22dde6f51dd49a7a4a48d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,"","",0,132,443,11252,11374,10024,,,,,,,,,,,,
246bb2dc0d433aef92606b6c86eaaa5c,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Ruminiclostridium,s__unidentified_eubacterium,0,0,30,0,0,0,,,,,,,,,,,,
d922e28fdfb36aa671e51df99219225a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",0,41,185,32,23,0,,,,,,,,,,,,
9f16467ded0e2c2cb9db6239128b3888,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,"",0,0,0,0,0,4,,,,,,,,,,,,
3e1f61ea50ed49833ff0058dbbc05226,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae,"","",0,0,13,0,0,0,,,,,,,,,,,,
e3f31631d975c8562764c5d16bda9088,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Rhodopirellula,s__planctomycete_str.,0,0,52,0,0,0,,,,,,,,,,,,
26472a34824697f2f97b7364d4cc664a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",0,0,0,10053,5024,13704,,,,,,,,,,,,
8901988809056571c8d7e6d8a7ce2010,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__uncultured,g__uncultured,s__uncultured_prokaryote,0,0,30,0,0,0,,,,,,,,,,,,
5673ae66819e3bdbbc09461e4959159e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,"",55,225,0,0,0,0,,,,,,,,,,,,
b0514ffce39dcd54fed8bb1d83b20518,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Parcubacteria,f__Parcubacteria,g__Parcubacteria,s__uncultured_soil,0,0,0,0,0,4,,,,,,,,,,,,
b94eb7071c670f415c46c3499f7cd255,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__FFCH9454,g__FFCH9454,s__metagenome,0,0,13,0,0,0,,,,,,,,,,,,
4d781b859576f6e73b7288246f241b08,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__uncultured,s__uncultured_bacterium,0,0,52,0,0,0,,,,,,,,,,,,
ad53576cccb4fb7af5597cb3f5168ab2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",0,27,67,4071,12554,11334,,,,,,,,,,,,
7b67a7be9465d6f0f0d9919fd88a0f5d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,"","",0,0,30,0,0,0,,,,,,,,,,,,
f3fbf55cbce34a5c8d68fe48dc8888c4,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__bacterium_enrichment,74,130,75,0,0,0,,,,,,,,,,,,
1cd13d41babfb8b20f677d2536b38394,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__uncultured,"",0,0,0,0,0,4,,,,,,,,,,,,
8498e1ce9c7cc4ea421bd83d237b1644,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_soil,0,0,13,0,0,0,,,,,,,,,,,,
59ad5982dee6e7ecbba11d1601d2702b,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Cephaloticoccus,s__uncultured_Verrucomicrobia,0,0,0,52,0,0,,,,,,,,,,,,
fe7b5b769375b837bb6d4bfa6dee234f,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,"",0,0,174,1490,8413,7567,,,,,,,,,,,,
5183d97b2862d0ab4cacfd081ab5d0fe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Candidatus_Megaira,"",0,0,30,0,0,0,,,,,,,,,,,,
315e9e1f9e4d2cae1bcd3f8383d544da,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__uncultured,"",69,119,91,0,0,0,,,,,,,,,,,,
d31f1b652c1a520edf659df5022681b0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,"",0,0,0,0,0,4,,,,,,,,,,,,
efafc308351c277f699076ad03f678af,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,"","",0,0,13,0,0,0,,,,,,,,,,,,
e076afaaeba76992c737b69d1dfecf6d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Taibaiella,s__Bacteroidetes_bacterium,0,0,0,0,10,42,,,,,,,,,,,,
ac2516290c775d5874bcbcf317ff8d13,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__Trachydiscus_minutus,997,5967,8343,0,0,0,,,,,,,,,,,,
b46a4a2442307f0ebca0431aba8e1822,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,"",0,0,30,0,0,0,,,,,,,,,,,,
82e5bf9eb1842c9e04c6b5efce6ed8ba,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured,"",171,90,16,0,0,0,,,,,,,,,,,,
03985f9af136ccb0247a04b6fce261ff,d__Bacteria,"","","","","","",0,0,0,0,0,4,,,,,,,,,,,,
57949b730e2ae8e66376776f790f6ec3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,"","",0,0,13,0,0,0,,,,,,,,,,,,
36204eff82240bac85c7ee67df54cdfe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,s__uncultured_beta,51,0,0,0,0,0,,,,,,,,,,,,
655273c1c38e976754fa517fa9a40f4a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",4529,10123,155,0,0,0,,,,,,,,,,,,
1100de90e801d89a821d80e533681f69,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__SJA-15,g__SJA-15,"",0,0,30,0,0,0,,,,,,,,,,,,
fec012f20a13de9c380eedf1c4dfe9ff,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,"","",65,84,128,0,0,0,,,,,,,,,,,,
