Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
1d7a24cd565a5f862c87f9fea4cdbc45,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,,0,0,13,0,0,0,,,,,,,,,,,,
a8c25fc07c2ee588530a1992a694e675,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricomycetes_ord_Incertae_sedis,f__Agaricomycetes_fam_Incertae_sedis,g__Agaricomycetes_gen_Incertae_sedis,s__Agaricomycetes_sp,0,0,0,12,0,0,,,,,,,,,,,,
d88df28fcb3b79703c35ce1d5d61205b,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Agrocybe,,0,0,0,71,0,0,,,,,,,,,,,,
74349b6f182e2bfc50d707a99bf9f644,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,,0,0,0,37,0,0,,,,,,,,,,,,
aa52d2edca27e28960d703359fb7acab,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__Alatospora_sp,0,0,0,36,0,0,,,,,,,,,,,,
7f867d9c93cd6b0942c6689d018d2dd0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__Alatospora_sp,0,0,10,0,0,0,,,,,,,,,,,,
17d8bc6842a011465346582c693a5061,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__Alatospora_sp,0,0,0,35,0,0,,,,,,,,,,,,
7181c860ffbd98566b5f31468cb653ab,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Alfaria,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0
78baeb4acaf2da94c88c9c8a227cbbdb,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,,37,40,24,0,0,0,,,,,,,,,,,,
ec9eabcb2b696cf90222bc34dad0a50e,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,,0,0,0,0,8,0,27,0,0,0,0,0,0,0,0,0,0,0
