Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
27a5ef6e53902197850e98324889fdfe,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Cyanobacteriales_Incertae_Sedis,g__uncultured,s__uncultured_Antarctic,0,0,0,0,0,0,28779,820,1355,5706,50796,42015,859,102302,36173,93339,30108,279
a54c2a845575f56d3bc381ebf0f7339f,d__Bacteria,,,,,,,0,0,8,0,0,0,,,,,,,,,,,,
dbd500ec9c52f7173d2f8b962c889f0a,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__uncultured,s__metagenome,0,0,16,0,0,0,,,,,,,,,,,,
ac2fb65300db06a7830d00fe573cc8bf,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ff66b771cf24ac801cd8e74b446791a6,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,,0,0,38,0,0,0,,,,,,,,,,,,
09b5e711020f25cbcddf5eaacd1bfdce,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chitinibacteraceae,g__Chitinibacter,,19,0,113,0,0,0,,,,,,,,,,,,
2b1891e2ae6cc99e8415227872225684,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Nevskia,s__uncultured_Nevskia,0,0,0,85586,50809,40600,,,,,,,,,,,,
fccc8206604d42230ce532e171401215,d__Bacteria,p__Firmicutes,c__Clostridia,o__Monoglobales,f__Monoglobaceae,g__Monoglobus,,0,0,8,0,0,0,,,,,,,,,,,,
d9be6b7406bda3f6c7d65ff2b9d90673,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Hungateiclostridium,,0,0,16,0,0,0,,,,,,,,,,,,
45c9af2d5014751ef3def8be75c24c8b,d__Bacteria,p__Fibrobacterota,c__Fibrobacteria,o__Fibrobacterales,,,,6,0,0,0,0,0,,,,,,,,,,,,
cee4083824bb46309ec98a598d07867d,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfatiglandales,f__Desulfatiglandaceae,g__Desulfatiglans,,0,0,38,0,0,0,,,,,,,,,,,,
471405b151165bc3715c03a06a2b63c3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__966-1,s__metagenome,13,71,48,0,0,0,,,,,,,,,,,,
3eeb4a6278652363d350b5391ebeb470,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnohabitans,,0,35,350,16162,50814,50157,,,,,,,,,,,,
3d7333fe50c45eff7c9c1c0ad41f32ab,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,s__uncultured_bacterium,0,0,8,0,0,0,,,,,,,,,,,,
8cff0dae39b3b2a47ac2c8354339c113,d__Bacteria,p__Myxococcota,c__Polyangia,o__mle1-27,f__mle1-27,g__mle1-27,,0,0,16,0,0,0,,,,,,,,,,,,
cc37e5888786de12e25c0ead3535f2f6,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,s__uncultured_bacterium,6,0,0,0,0,0,,,,,,,,,,,,
ed09f8f4de9db6cf09ad713b3c6cd674,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,s__metagenome,0,0,38,0,0,0,,,,,,,,,,,,
2e12d27906ba53d79e0f757a39f5346c,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__[Eubacterium]_brachy_group,s__uncultured_Firmicutes,10,13,109,0,0,0,,,,,,,,,,,,
ed36f5b55305b7bfe9f2366a73846621,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Cyanobacteriales_Incertae_Sedis,g__uncultured,s__uncultured_Antarctic,26502,30951,30489,0,5,0,,,,,,,,,,,,
81998cf068cd9647faf4ac2fddd0f8c3,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,,0,0,8,0,0,0,,,,,,,,,,,,
78df4e461317235570a2aa18d68c28eb,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,,0,0,16,0,0,0,,,,,,,,,,,,
8cd91d988ec25539df20b27b6519d097,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__ADurb.Bin180,f__ADurb.Bin180,g__ADurb.Bin180,s__uncultured_bacterium,6,0,0,0,0,0,,,,,,,,,,,,
19ed92c5a2fb61cf81e76bf3d6343011,d__Bacteria,p__Acidobacteriota,c__Subgroup_22,o__Subgroup_22,f__Subgroup_22,g__Subgroup_22,s__uncultured_bacterium,0,0,38,0,0,0,,,,,,,,,,,,
b376d9ecc598a0732f37185b662e5f5b,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae,g__Silvanigrella,,0,132,0,0,0,0,,,,,,,,,,,,
ae2edf66eb4e0e8a6373c7b4f36b5e12,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,0,0,0,0,0,0,0,56409,15133,1622,0,2197,1526,0,0,0,0,1199
5ee22c09d15fc63669291bd7bfb10d2c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,0,0,8,0,0,0,,,,,,,,,,,,
a8272808770edad50316d8a34c6d71ea,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1,,0,0,16,0,0,0,,,,,,,,,,,,
a09bbc87cbe19e10c51770a7ea0a20e4,d__Bacteria,p__Myxococcota,c__Polyangia,o__VHS-B3-70,f__VHS-B3-70,g__VHS-B3-70,,6,0,0,0,0,0,,,,,,,,,,,,
7e2b3a18c25b8cd405539612cda3373a,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__Tepidisphaeraceae,g__Tepidisphaeraceae,s__uncultured_bacterium,0,0,38,0,0,0,,,,,,,,,,,,
5ee4bb2297a0396a66bf48b93018f302,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,,,,0,66,66,0,0,0,,,,,,,,,,,,
f672aa3aea2d03f0b297739022e9b716,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,444,872,178,15332,16680,17091,,,,,,,,,,,,
f3cf00ea6f31734b9854f1ae7c62c60d,d__Bacteria,p__Firmicutes,c__Syntrophomonadia,o__Syntrophomonadales,f__Syntrophomonadaceae,g__uncultured,s__uncultured_prokaryote,0,0,8,0,0,0,,,,,,,,,,,,
2c89f30c2189831faddc03ad547d2ddc,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,,,0,0,16,0,0,0,,,,,,,,,,,,
7c465115380311affab28e90c34cf072,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Thermopolyspora,s__Thermopolyspora_sp.,6,0,0,0,0,0,,,,,,,,,,,,
f3f227d31218515d8fa601dfcb495a29,d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Caenarcaniphilales,f__Caenarcaniphilales,g__Caenarcaniphilales,s__uncultured_cyanobacterium,0,0,38,0,0,0,,,,,,,,,,,,
d2af52fc6f48ab4d05c96dad9527d8a2,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,,0,0,0,132,0,0,,,,,,,,,,,,
77ac51f000559f84c8c7e59d5fa3a488,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium_capsulatum,0,0,0,0,0,0,2505,234,151,3358,12807,6070,7426,1313,609,2328,4940,9047
4badb1a839b46fbdae87ce65f7c08bac,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__uncultured,s__metagenome,0,0,8,0,0,0,,,,,,,,,,,,
4fe0bcf1f7659faedb754ce2d435ef15,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,,,0,0,16,0,0,0,,,,,,,,,,,,
38c8a1ad08b38fb607f9f643f02277c5,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,s__uncultured_bacterium,6,0,0,0,0,0,,,,,,,,,,,,
ad33fd9a3471f1890fde4095ce54e537,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Emticicia,s__Emticicia_sp.,0,0,23,0,15,0,,,,,,,,,,,,
243e5e950f48a3cb787f93709098f686,d__Bacteria,p__SAR324_clade(Marine_group_B),c__SAR324_clade(Marine_group_B),o__SAR324_clade(Marine_group_B),f__SAR324_clade(Marine_group_B),g__SAR324_clade(Marine_group_B),s__uncultured_bacterium,0,0,0,0,0,0,64,0,0,9,0,13,0,0,23,0,7,7
05bb834b7b139e971a6847934e8837f9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,,0,0,0,0,0,0,1190,87,141,2112,3387,229,954,103,369,7192,4841,27067
ff001f6e8fcdf2faa8e4bda66531eb09,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__uncultured_prokaryote,0,0,8,0,0,0,,,,,,,,,,,,
5d539413755b3f94223486f93fe306f4,d__Bacteria,p__Armatimonadota,c__uncultured,o__uncultured,f__uncultured,g__uncultured,s__uncultured_soil,0,0,16,0,0,0,,,,,,,,,,,,
cad8cc3e7647d51e614b099398538e4d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured,s__uncultured_Devosia,6,0,0,0,0,0,,,,,,,,,,,,
